attack_techniques_id,engage_activity_id
T1601,EAC0018
T1601,EAC0019
T1601,EAC0005
T1601,EAC0022
T1602,EAC0015
T1602,EAC0011
T1602,EAC0008
T1602,EAC0015
T1602,EAC0005
T1602,EAC0018
T1602,EAC0022
T1602,EAC0015
T1606,EAC0005
T1606,EAC0018
T1606,EAC0022
T1609,EAC0018
T1609,EAC0018
T1610,EAC0016
T1611,EAC0018
T1612,EAC0018
T1613,EAC0005
T1613,EAC0011
T1613,EAC0005
T1613,EAC0005
T1613,EAC0014
T1613,EAC0005
T1613,EAC0006
T1614,EAC0015
T1614,EAC0011
T1614,EAC0015
T1614,EAC0014
T1614,EAC0001
T1068,EAC0023
T1068,EAC0023
T1068,EAC0023
T1068,EAC0023
T1040,EAC0023
T1040,EAC0023
T1040,EAC0023
T1040,EAC0023
T1040,EAC0023
T1046,EAC0023
T1046,EAC0023
T1046,EAC0023
T1046,EAC0023
T1072,EAC0023
T1072,EAC0023
T1072,EAC0023
T1072,EAC0023
